[2021-02-05 17:59:37] [ always  ] Converting Table #42 'data_template_data'
[2021-02-05 17:59:38] [ always  ] Converting Table #43 'data_template_rrd'
[2021-02-05 17:59:38] [ always  ] Converting Table #44 'external_links'
[2021-02-05 17:59:39] [ always  ] Converting Table #45 'graph_local'
[2021-02-05 17:59:39] [ always  ] Converting Table #46 'graph_templates'
[2021-02-05 17:59:39] [ always  ] Converting Table #47 'graph_templates_gprint'
[2021-02-05 17:59:40] [ always  ] Converting Table #48 'graph_templates_graph'
[2021-02-05 17:59:40] [ always  ] Converting Table #49 'graph_templates_item'
[2021-02-05 17:59:41] [ always  ] Converting Table #50 'graph_template_input'
[2021-02-05 17:59:41] [ always  ] Converting Table #51 'graph_template_input_defs'
[2021-02-05 17:59:41] [ always  ] Converting Table #52 'graph_tree'
[2021-02-05 17:59:42] [ always  ] Converting Table #53 'graph_tree_items'
[2021-02-05 17:59:42] [ always  ] Converting Table #54 'host'
[2021-02-05 17:59:43] [ always  ] Converting Table #55 'host_graph'
[2021-02-05 17:59:43] [ always  ] Converting Table #56 'host_snmp_cache'
[2021-02-05 17:59:44] [ always  ] Converting Table #57 'host_snmp_query'
[2021-02-05 17:59:44] [ always  ] Converting Table #58 'host_template'
[2021-02-05 17:59:45] [ always  ] Converting Table #59 'host_template_graph'
[2021-02-05 17:59:45] [ always  ] Converting Table #60 'host_template_snmp_query'
[2021-02-05 17:59:45] [ always  ] Converting Table #61 'plugin_config'
[2021-02-05 17:59:46] [ always  ] Converting Table #62 'plugin_db_changes'
[2021-02-05 17:59:46] [ always  ] Converting Table #63 'plugin_hooks'
[2021-02-05 17:59:47] [ always  ] Converting Table #64 'plugin_realms'
[2021-02-05 17:59:47] [ always  ] Converting Table #65 'poller'
[2021-02-05 17:59:48] [ always  ] Converting Table #66 'poller_command'
[2021-02-05 17:59:48] [ always  ] Converting Table #67 'poller_data_template_field_mappings'
[2021-02-05 17:59:49] [ always  ] Converting Table #68 'poller_item'
[2021-02-05 17:59:49] [ always  ] Converting Table #69 'poller_output'
[2021-02-05 17:59:50] [ always  ] Converting Table #70 'poller_output_boost'
[2021-02-05 17:59:50] [ always  ] Converting Table #71 'poller_output_boost_processes'
[2021-02-05 17:59:51] [ always  ] Converting Table #72 'poller_output_realtime'
[2021-02-05 17:59:51] [ always  ] Converting Table #73 'poller_reindex'
[2021-02-05 17:59:52] [ always  ] Converting Table #74 'poller_resource_cache'
[2021-02-05 17:59:52] [ always  ] Converting Table #75 'poller_time'
[2021-02-05 17:59:52] [ always  ] Converting Table #76 'processes'
[2021-02-05 17:59:53] [ always  ] Converting Table #77 'reports'
[2021-02-05 17:59:53] [ always  ] Converting Table #78 'reports_items'
[2021-02-05 17:59:54] [ always  ] Converting Table #79 'sessions'
[2021-02-05 17:59:54] [ always  ] Converting Table #80 'settings'
[2021-02-05 17:59:54] [ always  ] Converting Table #81 'settings_tree'
[2021-02-05 17:59:55] [ always  ] Converting Table #82 'settings_user'
[2021-02-05 17:59:55] [ always  ] Converting Table #83 'settings_user_group'
[2021-02-05 17:59:56] [ always  ] Converting Table #84 'sites'
[2021-02-05 17:59:56] [ always  ] Converting Table #85 'snmpagent_cache'
[2021-02-05 17:59:57] [ always  ] Converting Table #86 'snmpagent_cache_notifications'
[2021-02-05 17:59:57] [ always  ] Converting Table #87 'snmpagent_cache_textual_conventions'
[2021-02-05 17:59:58] [ always  ] Converting Table #88 'snmpagent_managers'
[2021-02-05 17:59:58] [ always  ] Converting Table #89 'snmpagent_managers_notifications'
[2021-02-05 17:59:59] [ always  ] Converting Table #90 'snmpagent_mibs'
[2021-02-05 17:59:59] [ always  ] Converting Table #91 'snmpagent_notifications_log'
[2021-02-05 17:59:59] [ always  ] Converting Table #92 'snmp_query'
[2021-02-05 18:00:00] [ always  ] Converting Table #93 'snmp_query_graph'
[2021-02-05 18:00:01] [ always  ] Converting Table #94 'snmp_query_graph_rrd'
[2021-02-05 18:00:01] [ always  ] Converting Table #95 'snmp_query_graph_rrd_sv'
[2021-02-05 18:00:02] [ always  ] Converting Table #96 'snmp_query_graph_sv'
[2021-02-05 18:00:03] [ always  ] Converting Table #97 'user_auth'
[2021-02-05 18:00:03] [ always  ] Converting Table #98 'user_auth_cache'
[2021-02-05 18:00:04] [ always  ] Converting Table #99 'user_auth_group'
[2021-02-05 18:00:04] [ always  ] Converting Table #100 'user_auth_group_members'
[2021-02-05 18:00:04] [ always  ] Converting Table #101 'user_auth_group_perms'
[2021-02-05 18:00:05] [ always  ] Converting Table #102 'user_auth_group_realm'
[2021-02-05 18:00:05] [ always  ] Converting Table #103 'user_auth_perms'
[2021-02-05 18:00:06] [ always  ] Converting Table #104 'user_auth_realm'
[2021-02-05 18:00:07] [ always  ] Converting Table #105 'user_domains'
[2021-02-05 18:00:07] [ always  ] Converting Table #106 'user_domains_ldap'
